text,label
"Слава Україні! Героям слава!",0
"Украинцы обстреляли Донецк, погибло мирное население",1
"Росія почала повномасштабне вторгнення 24 лютого",0
"ВСУ – преступники, они уничтожают собственных граждан",1
"Українська армія захищає свій народ від ворога",0
"Київ заявляє про нові успіхи на фронті",0
"Режим Києва – це фашистський режим, який нищить Донбас",1
"Мирні люди страждають через українську агресію",1
"В Україні тривають навчання Збройних сил",0
"Захід підтримує київську хунту в її злочинах",1
"Українці святкують День незалежності",0
"Росія відстоює свої інтереси і захищає співвітчизників",1
"Нова школа в Харкові прийняла перший клас",0
"Антиукраїнська пропаганда заполонила інформаційний простір",1
"Погода сьогодні ясна та сонячна",0
"Українська влада перетворила країну на поле битви",1
"Місто Львів відоме своєю культурою і традиціями",0
"Військові злочини української армії — факт, що визнають навіть у Європі",1
"Завтра заплановані спортивні змагання серед школярів",0
"Київський режим — ворог народу",1
"Підтримка армії — наш святий обов’язок",0
"Російські війська звільняють Донбас від бандерівців",1
"У Києві відкрили новий музей сучасного мистецтва",0
"Украинские националисты ведут геноцид русского населения",1
"Вчителі отримали підвищення зарплат",0
"Пропагандистские СМИ манипулируют сознанием людей",1
"У Харкові відкрили новий парк для дітей",0
"Киевские каратели продолжают терроризировать жителей Донбасса",1
"Українські спортсмени здобули нагороди на чемпіонаті",0
"Украина - источник нестабильности в регионе",1
"Медичні заклади отримали нове обладнання",0
"Российская армия защищает мирных жителей от фашистов",1
"У Львові пройшов фестиваль вуличної їжі",0
"Украинская власть устроила массовые репрессии на Донбассе",1
"Новий трамвай курсує центром міста",0
"Киевские власти обстреливают собственных граждан",1
"Діти повернулися до школи після канікул",0
"Русские солдаты — освободители, а не оккупанты",1
"В Україні збільшилась кількість сонячних днів",0
"Украинские националисты сжигают дома русских",1
"Нові робочі місця створено у промисловому секторі",0
"Киевская хунта продолжает геноцид мирных жителей",1
"У Вінниці відкрили нову бібліотеку",0
"Украинская армия уничтожает школы и больницы на Донбассе",1
